City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hilo,19.73,-155.09,84.2,51,20,12.75,US,1603246164
Kushima,31.46,131.23,73.4,69,75,17.22,JP,1603246164
Zheleznodorozhnyy,55.75,38.0,35.6,69,40,11.18,RU,1603246164
Khatanga,71.97,102.5,6.48,95,83,8.52,RU,1603245999
Daru,-9.08,143.21,83.64,71,100,10.33,PG,1603246164
Ahipara,-35.17,173.17,64.87,66,100,6.91,NZ,1603246165
Salinas,36.68,-121.66,63.0,77,1,6.93,US,1603246165
Pevek,69.7,170.31,31.03,95,84,16.37,RU,1603246165
Ancud,-41.87,-73.82,45.0,80,0,5.82,CL,1603246165
Alamogordo,32.9,-105.96,77.0,15,1,5.82,US,1603246165
Castro,-24.79,-50.01,62.94,89,58,5.91,BR,1603246151
Salé,34.04,-6.82,69.01,82,75,9.17,MA,1603246166
Kruisfontein,-34.0,24.73,48.0,91,0,1.01,ZA,1603246004
Marfino,55.7,37.38,35.01,95,75,8.95,RU,1603246166
Karatau,43.17,70.47,53.28,37,0,11.16,KZ,1603246167
Jamestown,42.1,-79.24,48.99,93,90,6.93,US,1603246167
Freeport,40.66,-73.58,62.6,100,90,4.7,US,1603246098
Lerwick,60.15,-1.15,48.2,81,100,27.51,GB,1603246167
Norman Wells,65.28,-126.83,21.2,92,90,14.99,CA,1603245874
Hobart,-42.88,147.33,66.99,45,75,3.36,AU,1603246067
Tessaoua,13.76,7.99,83.39,15,0,6.6,NE,1603246168
Shitanjing,39.23,106.34,46.13,43,0,3.85,CN,1603246168
Lata,40.16,-8.33,61.0,94,17,1.01,PT,1603245967
Port Lincoln,-34.73,135.87,61.92,70,93,9.82,AU,1603245982
Hamilton,39.18,-84.53,55.99,93,90,3.09,US,1603245602
Zhezkazgan,47.8,67.71,43.54,49,53,7.63,KZ,1603246169
Pisco,-13.7,-76.22,64.0,82,2,18.34,PE,1603246169
Dalian,38.91,121.6,66.2,59,1,11.18,CN,1603246169
Muros,42.78,-9.06,60.01,90,100,13.0,ES,1603246170
Thompson,55.74,-97.86,26.6,79,90,2.24,CA,1603246170
Grass Valley,39.22,-121.06,69.8,28,1,5.03,US,1603245928
Blythe,33.61,-114.6,87.8,15,1,3.36,US,1603246170
George Town,5.41,100.34,82.4,83,20,4.27,MY,1603246170
Tsiroanomandidy,-18.77,46.03,66.79,71,0,3.15,MG,1603246171
Barrow,71.29,-156.79,26.6,86,90,13.87,US,1603246171
Oktyabr'skiy,54.48,53.47,35.56,89,100,8.79,RU,1603246171
Surskoye,54.48,46.72,33.19,93,22,9.53,RU,1603246171
Batagay,67.63,134.63,10.62,92,75,3.18,RU,1603246171
Hithadhoo,-0.6,73.08,82.04,80,65,13.71,MV,1603246172
Kavieng,-2.57,150.8,81.91,77,98,7.4,PG,1603246172
Vao,-22.67,167.48,73.35,83,99,13.27,NC,1603246023
Kachīry,53.07,76.1,44.49,60,0,8.79,KZ,1603246172
Bilhaur,26.85,80.08,72.97,38,0,4.36,IN,1603246173
Mahon,39.89,4.27,68.0,88,93,17.22,ES,1603246173
San Cristobal,7.77,-72.22,77.0,88,40,3.36,VE,1603245972
Guerrero Negro,27.98,-114.06,70.18,84,0,15.17,MX,1603246173
Gambēla,8.25,34.58,70.2,80,100,3.47,ET,1603246173
Kunyang,27.67,120.57,67.82,71,100,6.69,CN,1603246174
Ilulissat,69.22,-51.1,33.8,86,100,10.29,GL,1603246174
Palmer,42.16,-72.33,62.01,100,75,4.7,US,1603246174
Padang,-0.95,100.35,85.33,60,91,3.2,ID,1603246174
Haines Junction,60.75,-137.51,27.82,82,99,3.78,CA,1603246107
Tabas,33.6,56.92,57.2,14,0,2.24,IR,1603246117
Yellowknife,62.46,-114.35,21.2,79,20,9.17,CA,1603246175
Mahanoro,-19.9,48.8,71.13,84,32,5.14,MG,1603245897
Katsuura,35.13,140.3,69.01,59,20,11.41,JP,1603246175
Shahrud,36.42,54.98,51.3,45,0,2.82,IR,1603246175
Kumul,42.8,93.45,55.09,34,0,7.47,CN,1603246176
Oddur,4.12,43.89,72.27,87,32,9.69,SO,1603246176
Burgeo,47.62,-57.62,54.95,93,89,17.07,CA,1603246176
Makkah al Mukarramah,21.43,39.83,76.12,18,0,6.71,SA,1603246176
Sulangan,11.14,123.72,84.2,75,9,12.06,PH,1603246176
Kapan,39.21,46.41,53.62,74,58,2.19,AM,1603246176
Sobolevo,54.43,31.9,35.37,87,100,5.59,RU,1603246177
Talara,-4.58,-81.27,64.31,86,0,14.14,PE,1603246177
Faanui,-16.48,-151.75,78.96,80,1,14.27,PF,1603246125
Saint-Augustin,51.23,-58.65,47.05,96,100,10.92,CA,1603246177
Hambantota,6.12,81.12,78.8,100,40,8.05,LK,1603246178
Longyearbyen,78.22,15.64,26.6,68,40,6.93,SJ,1603246177
Lebu,-37.62,-73.65,49.06,78,0,17.52,CL,1603246178
East London,-33.02,27.91,57.49,66,0,5.5,ZA,1603246178
Hong Kong,22.29,114.16,78.01,66,55,1.99,HK,1603245951
Caravelas,-17.71,-39.25,73.0,93,100,1.39,BR,1603245942
Sivaki,52.63,126.75,36.54,89,98,6.15,RU,1603246179
Jasper,37.2,-94.35,57.2,93,90,6.93,US,1603246179
Richards Bay,-28.78,32.04,66.56,78,49,7.14,ZA,1603245884
Iqaluit,63.75,-68.51,30.2,74,90,9.17,CA,1603246065
Half Moon Bay,37.46,-122.43,82.4,100,1,3.36,US,1603245924
Carauari,-4.88,-66.9,75.87,86,30,1.59,BR,1603246180
Isoka,-10.16,32.63,64.36,67,8,2.55,ZM,1603246180
Nikolskoye,59.7,30.79,32.0,92,100,2.24,RU,1603246180
Opuwo,-18.06,13.84,59.13,36,0,1.57,NA,1603246181
Araioses,-2.89,-41.9,78.73,75,0,11.77,BR,1603246181
Mar del Plata,-38.0,-57.56,52.0,75,0,5.82,AR,1603246181
Asbestos,45.77,-71.93,42.8,100,90,3.78,CA,1603246181
Clyde River,70.47,-68.59,28.4,74,75,13.87,CA,1603246182
Marawi,8.0,124.29,87.01,64,100,1.01,PH,1603246015
Kawalu,-7.38,108.21,77.83,77,100,1.77,ID,1603246182
Leningradskiy,69.38,178.42,35.37,83,48,8.77,RU,1603246182
Mt. Pleasant,32.79,-79.86,73.99,100,75,11.61,US,1603246182
Barentu,15.11,37.59,71.2,53,0,5.08,ER,1603246183
Phan Thiet,10.93,108.1,80.98,79,100,2.51,VN,1603246183
Bethel,41.37,-73.41,60.01,97,54,0.58,US,1603246183
Aljezur,37.32,-8.8,63.45,84,3,12.68,PT,1603246183
Bredasdorp,-34.53,20.04,41.0,93,0,2.24,ZA,1603246183
Quimper,48.0,-4.1,59.0,93,90,8.05,FR,1603246184
Djibouti,11.5,42.5,78.8,47,1,5.82,DJ,1603246184
Bilibino,68.05,166.44,22.06,94,98,2.19,RU,1603246184
Dikson,73.51,80.55,24.03,97,94,5.01,RU,1603246177
Butaritari,3.07,172.79,82.38,73,46,10.36,KI,1603246184
Potsdam,52.4,13.07,52.0,97,100,8.25,DE,1603246185
Cidreira,-30.18,-50.21,68.88,93,97,7.36,BR,1603246185
Turukhansk,65.82,87.98,17.94,96,100,10.49,RU,1603246185
Fortuna,40.6,-124.16,57.99,82,1,8.05,US,1603246185
Acapulco de Juárez,16.86,-99.89,84.2,83,75,5.82,MX,1603246185
Altay,47.87,88.12,41.72,53,0,3.27,CN,1603246186
Sühbaatar,50.23,106.21,30.81,75,89,2.19,MN,1603246186
Kadhan,24.48,68.99,79.65,56,0,5.61,PK,1603246186
Nurota,40.56,65.69,46.4,52,0,9.17,UZ,1603246186
Avarua,-21.21,-159.78,75.2,94,100,6.93,CK,1603246186
Santiago de Cao,-7.96,-79.24,61.72,88,3,11.27,PE,1603246187
Den Helder,52.96,4.76,57.99,87,90,10.29,NL,1603246137
Āsosa,10.07,34.53,64.08,80,67,4.9,ET,1603246187
Kyritz,52.94,12.4,53.01,93,100,1.99,DE,1603246187
Manaure,11.78,-72.44,82.18,76,75,3.33,CO,1603246188
Gushikawa,26.35,127.87,84.2,62,1,19.46,JP,1603246188
Port Elizabeth,-33.92,25.57,51.8,81,7,8.05,ZA,1603246188
Ambon City,-3.7,128.18,89.6,62,20,3.36,ID,1603246188
Chui,-33.7,-53.46,57.96,74,100,13.27,UY,1603245970
Saint George,37.1,-113.58,80.6,10,1,4.7,US,1603246188
Oshkosh,44.02,-88.54,41.0,86,90,6.93,US,1603246035
Christchurch,-43.53,172.63,63.0,55,8,6.93,NZ,1603246068
Souillac,-20.52,57.52,73.4,78,40,12.75,MU,1603246189
Cockburn Town,21.46,-71.14,81.73,79,89,14.92,TC,1603246189
Ostrovnoy,68.05,39.51,36.77,81,100,13.11,RU,1603246189
Kisangani,0.52,25.2,69.1,98,100,1.57,CD,1603246189
Panji,-7.73,114.1,90.12,48,14,6.67,ID,1603246190
Codrington,-38.27,141.97,58.26,70,4,7.47,AU,1603245902
Yagodnoye,62.55,149.67,15.33,80,0,2.19,RU,1603246189
Jinan,36.67,117.0,64.99,55,0,9.93,CN,1603246190
Tiksi,71.69,128.87,8.44,92,89,8.77,RU,1603246191
Taltal,-25.4,-70.48,58.73,68,6,3.4,CL,1603246191
Tukuran,7.86,123.58,83.5,79,100,9.44,PH,1603246191
Lavrentiya,65.58,-171.0,38.32,95,97,7.14,RU,1603246191
Mehrān,33.12,46.16,53.6,18,0,4.7,IR,1603246191
Gambo,4.65,22.26,70.47,98,100,3.91,CF,1603246191
Qingyuan,23.7,113.03,73.4,53,0,13.42,CN,1603246192
Mangan,27.52,88.53,76.55,30,0,3.06,IN,1603246192
Meadow Lake,34.8,-106.54,69.8,15,1,5.82,US,1603246192
Burnie,-41.07,145.92,61.0,62,64,8.99,AU,1603246192
Sapa,5.15,120.32,84.9,73,100,13.24,PH,1603246193
Port Blair,11.67,92.75,82.62,81,23,15.32,IN,1603246193
Shimoda,34.67,138.95,66.2,63,20,23.04,JP,1603246193
Rawson,-43.3,-65.1,50.92,59,0,17.74,AR,1603246193
Lubao,14.92,120.55,84.2,88,90,11.41,PH,1603246193
Sitka,57.05,-135.33,44.6,70,75,3.36,US,1603245985
Ipaussu,-23.06,-49.63,67.93,88,6,4.72,BR,1603246194
Charters Towers,-20.1,146.27,90.34,34,0,14.36,AU,1603246194
Airai,-8.93,125.41,80.62,31,21,4.99,TL,1603245992
Venice of the Philippines,4.66,119.39,84.09,74,100,15.17,PH,1603246194
Cuamba,-14.8,36.54,75.0,49,14,6.31,MZ,1603246195
Port Hueneme,34.15,-119.2,64.0,93,90,10.29,US,1603245993
Vanimo,-2.67,141.3,83.86,73,100,1.63,PG,1603245938
Taunggyi,20.78,97.03,67.42,82,35,2.04,MM,1603246195
Esperance,-33.87,121.9,62.6,93,90,14.99,AU,1603245974
Strezhevoy,60.73,77.59,33.8,100,90,4.47,RU,1603245916
Ponta do Sol,32.67,-17.1,68.0,64,20,8.05,PT,1603246196
Scarborough,54.28,-0.4,55.99,93,100,4.0,GB,1603246196
Tezu,27.92,96.17,74.43,77,60,1.39,IN,1603245904
Olinda,-8.01,-34.86,78.8,74,40,13.87,BR,1603246076
Port Maria,18.37,-76.89,75.99,94,100,8.7,JM,1603246197
Broome,42.25,-75.83,51.01,100,90,4.7,US,1603246197
Luancheng,37.88,114.65,57.2,20,0,13.42,CN,1603246197
Tambura,5.6,27.47,67.57,92,24,3.06,SS,1603246197
Salisbury,51.07,-1.8,59.0,93,100,8.05,GB,1603246189
Kloulklubed,7.04,134.26,80.6,88,90,5.82,PW,1603246198
Constitución,-35.33,-72.42,51.31,78,24,14.25,CL,1603246198
Fagernes,60.99,9.23,30.99,95,100,2.13,NO,1603246198
Touros,-5.2,-35.46,75.2,88,40,2.24,BR,1603246198
Ransang,8.96,117.58,85.12,70,98,10.67,PH,1603246199
Carmo do Rio Claro,-20.97,-46.12,65.17,91,100,3.02,BR,1603246199
Vila Velha,-20.33,-40.29,69.8,94,90,6.93,BR,1603246158
Alta Floresta,-9.88,-56.09,77.74,62,0,0.36,BR,1603246199
Narsaq,60.92,-46.05,30.2,86,100,2.24,GL,1603246200
Cabo San Lucas,22.89,-109.91,84.0,69,5,17.22,MX,1603245985
Hofn,64.25,-15.21,35.89,74,38,6.85,IS,1603246200
Puri,19.8,85.85,78.8,100,40,5.82,IN,1603245920
Cap Malheureux,-19.98,57.61,75.0,72,0,5.99,MU,1603246200
Mandalī,33.75,45.55,70.5,23,0,8.43,IQ,1603246201
Spirit River,55.78,-118.84,24.8,92,75,4.7,CA,1603246201
Dingle,11.0,122.67,84.0,80,52,15.03,PH,1603246201
Tegul'det,57.31,88.17,34.61,93,100,6.58,RU,1603246202
Birjand,32.87,59.22,35.6,14,0,4.7,IR,1603246202
Barcelos,41.54,-8.62,59.0,100,75,12.75,PT,1603245937
Ternate,0.8,127.4,83.73,70,24,6.51,ID,1603246202
Shingū,33.73,135.98,71.6,56,20,10.29,JP,1603246203
Nekhayevskiy,50.41,41.76,35.01,79,0,4.0,RU,1603246203
Bambous Virieux,-20.34,57.76,75.0,78,40,12.75,MU,1603246203
Broken Hill,-31.95,141.43,75.2,22,40,5.82,AU,1603246203
Lichinga,-13.31,35.24,64.4,68,0,12.75,MZ,1603246203
Verkh-Usugli,52.7,115.17,26.56,73,0,10.0,RU,1603246204
Mezen',65.85,44.24,32.5,97,99,7.58,RU,1603246204
Ribeira Grande,38.52,-28.7,63.55,68,78,25.43,PT,1603246204
Hasaki,35.73,140.83,69.01,59,40,9.17,JP,1603246204
Banda Aceh,5.56,95.32,85.71,62,36,9.42,ID,1603246205
Agüimes,27.91,-15.45,73.4,73,75,8.05,ES,1603246205
Samarai,-10.62,150.67,81.16,79,96,9.6,PG,1603246205
Kangaba,11.93,-8.42,77.36,69,16,3.89,ML,1603246205
Aklavik,68.22,-135.01,23.0,92,90,10.29,CA,1603246205
Marabu,4.41,114.01,84.2,79,40,2.24,MY,1603246206
Warman,52.32,-106.57,25.0,79,90,10.29,CA,1603246206
Maha Sarakham,16.33,103.67,77.0,78,92,8.05,TH,1603246206
Bambanglipuro,-7.95,110.28,84.6,71,10,3.36,ID,1603246206
Rocha,-34.48,-54.33,54.72,66,100,11.77,UY,1603245946
Kyshtovka,56.55,76.63,42.6,83,100,10.76,RU,1603246207
Juneau,58.3,-134.42,41.0,80,75,4.7,US,1603246095
Kahului,20.89,-156.47,91.4,41,20,11.41,US,1603246207
Mandalgovi,45.76,106.27,28.92,80,0,14.9,MN,1603245942
San Quintín,30.48,-115.95,66.63,89,1,12.06,MX,1603246207
Paamiut,61.99,-49.67,35.26,85,98,1.16,GL,1603246208
Noumea,-22.28,166.46,82.4,54,75,13.87,NC,1603246208
Henties Bay,-22.12,14.28,57.99,86,2,3.0,NA,1603246208
Saint-Paul,-21.01,55.27,71.6,64,17,12.75,RE,1603246208
Jiayuguan City,39.82,98.3,52.25,35,0,1.79,CN,1603246208
Biggar,55.62,-3.52,53.01,64,94,3.0,GB,1603246208
Gorontalo,0.54,123.06,87.85,54,52,7.81,ID,1603246209
Manicoré,-5.81,-61.3,78.93,72,6,0.69,BR,1603246209
Lermontovka,47.15,134.34,52.5,55,100,14.41,RU,1603246209
San Patricio,28.02,-97.52,79.0,83,20,10.29,US,1603246210
Balikpapan,-1.27,116.83,84.2,83,40,5.82,ID,1603246210
Andros,37.83,24.93,66.0,65,94,14.0,GR,1603246210
Beringovskiy,63.05,179.32,41.52,85,55,11.65,RU,1603246210
Teodoro Sampaio,-22.53,-52.17,72.86,77,15,6.22,BR,1603246211
Okhotsk,59.38,143.3,27.79,78,97,7.67,RU,1603246211
Laas,46.62,10.7,48.99,100,5,5.82,IT,1603246211
Angoche,-16.23,39.91,73.15,87,0,5.44,MZ,1603246211
Talcahuano,-36.72,-73.12,51.8,71,0,16.11,CL,1603246211
Kuito,-12.38,16.93,63.57,76,2,6.82,AO,1603246212
Egvekinot,66.32,-179.17,33.91,100,98,5.64,RU,1603246212
Fairbanks,64.84,-147.72,23.0,79,75,1.12,US,1603245931
Ezequiel Montes,20.67,-99.88,66.2,48,40,8.05,MX,1603246212
Klaksvík,62.23,-6.59,39.2,72,39,5.82,FO,1603246191
San Fernando,15.03,120.69,80.6,88,90,11.41,PH,1603246213
Dargaville,-35.93,173.88,65.37,65,100,3.15,NZ,1603246213
Geraldton,-28.77,114.6,69.8,60,75,17.22,AU,1603246213
Xining,36.62,101.77,43.09,50,0,1.74,CN,1603246213
Envira,-7.3,-70.22,72.9,98,100,1.14,BR,1603246213
Conde,-7.26,-34.91,75.2,94,75,8.05,BR,1603246214
Novobirilyussy,56.95,90.67,35.71,91,100,5.77,RU,1603246214
Mbandaka,0.05,18.26,70.47,92,23,3.33,CD,1603246214
Lorengau,-2.02,147.27,84.51,68,94,4.5,PG,1603246187
Havøysund,71.0,24.66,26.6,86,20,3.36,NO,1603246215
Sangar,63.92,127.47,18.63,95,100,9.33,RU,1603246215
Riyadh,24.69,46.72,62.6,36,0,9.6,SA,1603246215
Bahía de Caráquez,-0.6,-80.42,73.4,78,40,13.87,EC,1603246215
Port-Gentil,-0.72,8.78,78.26,86,100,12.97,GA,1603246215
Verkhoyansk,67.54,133.38,9.45,88,84,3.42,RU,1603246197
Kalmunai,7.42,81.82,81.34,69,0,3.85,LK,1603246216
Krasnyy Chikoy,50.36,108.75,27.0,81,100,3.4,RU,1603246216
Galle,6.04,80.22,80.87,82,12,13.04,LK,1603246216
Gari,59.43,62.35,28.47,98,44,5.7,RU,1603246216
Biskamzha,53.45,89.53,35.11,84,99,2.35,RU,1603246217
Sabzawār,36.21,57.68,50.07,37,0,6.22,IR,1603246217
Dwārka,22.24,68.97,83.32,79,0,6.58,IN,1603246217
Río Gallegos,-51.62,-69.22,42.8,70,90,6.93,AR,1603246217
Kuybyshevo,47.81,38.91,40.33,70,0,4.76,RU,1603246217
Victoria Point,-27.58,153.3,79.0,44,40,11.41,AU,1603246218
Maiduguri,11.85,13.16,76.73,28,0,0.81,NG,1603246218
Awjilah,29.11,21.29,64.49,67,0,10.0,LY,1603246218
Preobrazheniye,42.9,133.91,59.16,75,100,8.72,RU,1603246218
Troitsko-Pechorsk,62.71,56.2,26.55,98,88,4.29,RU,1603246218
Popondetta,-8.75,148.25,87.4,57,100,3.11,PG,1603246219
Portland,45.52,-122.68,60.01,70,83,1.01,US,1603245761
Yārāda,17.65,83.27,80.6,94,40,6.93,IN,1603246219
Kudahuvadhoo,2.67,72.89,82.33,79,64,14.07,MV,1603246219
Liverpool,53.41,-2.98,57.2,93,100,9.17,GB,1603246111
Puerto del Rosario,28.5,-13.86,73.4,69,20,2.24,ES,1603246220
Takoradze,4.88,-1.76,76.05,91,100,8.08,GH,1603246220
Comana,44.17,26.14,39.2,93,0,1.12,RO,1603246220
Sept-Îles,50.2,-66.38,39.0,86,20,10.29,CA,1603246003
Kutina,45.48,16.78,39.2,93,20,2.24,HR,1603246220
Rāver,21.25,76.03,79.27,77,0,0.85,IN,1603246220
Yinchuan,38.47,106.27,47.71,37,0,2.1,CN,1603246221
Skibbereen,51.55,-9.27,46.4,100,75,3.36,IE,1603246221
Kapit,2.02,112.93,88.27,57,96,1.72,MY,1603246149
Cayenne,4.93,-52.33,78.8,88,100,3.36,GF,1603246222
Salinópolis,-0.61,-47.36,80.64,77,2,11.83,BR,1603246222
Verkhnevilyuysk,63.45,120.32,21.56,95,75,4.41,RU,1603246222
Lompoc,34.64,-120.46,60.8,82,90,8.05,US,1603246049
Alofi,-19.06,-169.92,78.8,74,90,19.46,NU,1603246009
Walvis Bay,-22.96,14.51,57.99,93,0,10.29,NA,1603246220
Kilifi,-3.63,39.85,77.0,88,18,6.93,KE,1603246223
Conceição da Barra,-18.59,-39.73,72.79,82,100,5.75,BR,1603246223
Srednekolymsk,67.45,153.68,19.0,96,81,5.5,RU,1603246224
Kwang Binh,17.48,106.6,69.1,89,100,14.56,VN,1603246224
Rexburg,43.83,-111.79,53.6,50,90,11.41,US,1603246197
Meybod,32.25,54.02,51.8,20,0,4.7,IR,1603246224
Baghdad,33.34,44.4,66.2,63,0,8.05,IQ,1603246118
Chiang Klang,19.29,100.86,73.4,94,40,1.86,TH,1603246224
Itarema,-2.92,-39.92,79.03,77,0,16.42,BR,1603246197
Mogwase,-25.18,27.27,75.85,21,21,12.12,ZA,1603246225
Okha,53.57,142.95,46.36,62,93,14.12,RU,1603246225
Caucayá,-0.19,-74.78,73.26,96,100,1.9,CO,1603246225
Sinnamary,5.38,-52.95,80.11,80,100,12.66,GF,1603246226
Tricase,39.93,18.36,50.0,100,5,1.12,IT,1603246226
Hammerfest,70.66,23.68,26.6,86,20,3.36,NO,1603246226
Harstad,68.8,16.53,32.0,81,55,13.87,NO,1603246226
Barra de Tecoanapa,16.52,-98.75,81.68,82,100,5.03,MX,1603246207
Tahe,52.33,124.73,37.06,81,100,6.44,CN,1603246227
Riohacha,11.54,-72.91,77.11,86,74,4.68,CO,1603246227
Salimpur,28.13,76.28,75.22,19,0,3.91,IN,1603246227
Nichinan,31.6,131.37,73.4,69,75,17.22,JP,1603246227
Mackay,-21.15,149.2,84.2,54,40,14.99,AU,1603246227
Atasū,48.68,71.64,40.5,50,0,4.52,KZ,1603246228
Makakilo City,21.35,-158.09,84.2,70,1,9.17,US,1603246228
La Palma,33.85,-118.05,71.01,82,1,8.05,US,1603246155
Mahon,39.89,4.27,68.0,88,93,17.22,ES,1603246228
Hualmay,-11.1,-77.61,63.36,80,47,8.3,PE,1603246228
Sumbe,-11.21,13.84,74.12,83,100,3.69,AO,1603246229
Severo-Kuril'sk,50.68,156.12,42.6,65,59,28.72,RU,1603246185
Tara,56.89,74.37,42.6,81,100,6.4,RU,1603246229
Ambilobe,-13.2,49.05,71.47,79,91,3.42,MG,1603246205
Rosolini,36.82,14.95,55.0,81,0,3.36,IT,1603246230
Atbasar,51.8,68.33,45.75,47,100,8.84,KZ,1603246230
Kaura Namoda,12.59,6.58,78.06,30,0,3.06,NG,1603246203
Kalāleh,37.38,55.49,59.99,52,0,0.98,IR,1603246230
Melo,-32.37,-54.18,56.71,77,97,18.23,UY,1603246230
Mango,27.98,-82.31,77.0,83,1,4.7,US,1603246231
Acaraú,-2.89,-40.12,78.73,77,0,16.08,BR,1603246231
Kuril'sk,45.23,147.88,48.29,55,5,7.65,RU,1603246231
Waddān,29.16,16.14,60.69,78,0,6.71,LY,1603246231
Villa Bruzual,9.33,-69.12,75.63,90,95,1.83,VE,1603246231
Gao,16.64,1.64,88.72,14,0,7.63,ML,1603246232
Quatre Cocos,-20.21,57.76,75.0,78,40,12.75,MU,1603246171
Dukat,62.55,155.55,14.05,93,13,1.79,RU,1603246232
Kununurra,-15.77,128.73,95.0,47,12,6.93,AU,1603246053
Vidim,56.41,103.11,31.15,96,100,6.93,RU,1603246232
Mayo,38.89,-76.51,62.6,100,1,3.33,US,1603246232
Kismayo,-0.36,42.55,79.02,82,69,12.93,SO,1603246233
Misratah,32.38,15.09,69.58,59,20,4.47,LY,1603246233
Sioux Lookout,50.1,-91.92,32.0,88,90,5.82,CA,1603246233
